,Factory Name,Address,Country,Total Number of Workers,Men,Women,Total Men Percentage,Total Women Percentage,Total Employee
73,New Asia Fashions Limited,40/3 Anwar Jung Road Charabag Ashulia Savar Dhaka Dhaka 1341,Bangladesh,1039,421.0,618.0,(40.5)%,(59.5)%,1039.0
74,Newage Apparels Ltd,Purbo Narshinghapur Nischintapur Zirabo Asulia Savar Dhaka Dhaka 1341,Bangladesh,7680,2816.0,4864.0,(36.7)%,(63.3)%,7680.0
75,Noman Terry Towel Mills Ltd,Vawal Mirzapur Gazipur Gazipur 1703,Bangladesh,8904,5534.0,3370.0,(62.2)%,(37.8)%,8904.0
76,Norp Knit Industries Limited Unit 1,North Khailkur Post National University Gazipur Sadar Gazipur Gazipur 1704,Bangladesh,1301,565.0,736.0,(43.4)%,(56.6)%,1301.0
77,Norp Knit Industries Unit 2,Reliance Industrial Park 93 Islampur Kodda Nandun Gazipur Gazipur 1700,Bangladesh,5853,3700.0,2153.0,(63.2)%,(36.8)%,5853.0
78,Novel Hurricane Knit Garments Ltd,Bokran Monipur Mirzapur Tangail Tangail 1703,Bangladesh,2513,1546.0,967.0,(61.5)%,(38.5)%,2513.0
79,NR Knitting Mills Limited,Bholail Enayet Nagar Fatullah Narayangonj Narayangonj 1421,Bangladesh,1371,828.0,543.0,(60.4)%,(39.6)%,1371.0
80,NRG Knit Composite,Enayet Nagar Fatullah Narayangonj 1421,Bangladesh,3772,2009.0,1763.0,(53.3)%,(46.7)%,3772.0
81,Onus Design Ltd,Joy Bangla Rd Kunia Barabari Gazipur Gazipur 1704,Bangladesh,2529,1334.0,1195.0,(52.7)%,(47.3)%,2529.0
82,Orchid Garments Ltd,Chaydana Degerchala Road National University Gazipur Gazipur 1704,Bangladesh,1494,537.0,957.0,(35.9)%,(64.1)%,1494.0
83,Panasia Clothing Ltd,Aziz Chowdhury Complex 2 Vogra National University Gazipur Gazipur 1704,Bangladesh,2075,622.0,1453.0,(30.0)%,(70.0)%,2075.0
84,Pioneer Knitwears BD Ltd Unit 1,Jamirdia Valuka Mymensingh Mymensingh 2240,Bangladesh,5925,3795.0,2130.0,(64.1)%,(35.9)%,5925.0
85,PN Composite,Ambag Konabari Nilnagor Gazipur Gazipur 1700,Bangladesh,2978,1235.0,1743.0,(41.5)%,(58.5)%,2978.0
86,Progress Apparels Bangladesh Ltd,MS SFB 01 02 Adamjee EPZ Siddhirganj Narayangonj Narayangonj 1431,Bangladesh,3728,895.0,2833.0,(24.0)%,(76.0)%,3728.0
87,Prudent Fashions Ltd,"Gazir Chart Alia Madrasa Kaichabari Road Dhamsona Ashulia Dhaka Dhaka1344",Bangladesh,2427,1307.0,1120.0,(53.9)%,(46.1)%,2427.0
88,Raidha Collections Ltd,Zamirdia Valuka Mymensingh Mymensingh 2240,Bangladesh,4938,2760.0,2178.0,(55.9)%,(44.1)%,4938.0
89,Reaz Export Apparels Ltd,North Khikhair Sign Board Board Bazar Gazipur Gazipur 1704,Bangladesh,3021,1017.0,2004.0,(33.7)%,(66.3)%,3021.0
90,Remi Holdings Limited,"Plot 244 245 250 & 251 Adamjee Export Processing Zone EPZ AdamjeenagarShiddhirganj Narayangonj 1431",Bangladesh,3190,622.0,2568.0,(19.5)%,(80.5)%,3190.0
91,Rizvi Fashions Limited,Anwar Jang Road 1 nr Kalma Bazar Savar Dhaka Dhaka 1341,Bangladesh,4815,2405.0,2410.0,(49.9)%,(50.1)%,4815.0
92,Romo Fashion Today Ltd,Mouchak Kaliakoir Gazipur Gazipur 1751,Bangladesh,1579,474.0,1105.0,(30.0)%,(70.0)%,1579.0
93,Rose Intimates Ltd,Baroipara Ashulia Savar Dhaka Dhaka 1345,Bangladesh,2062,609.0,1453.0,(29.5)%,(70.5)%,2062.0
94,Saturn Textiles Ltd,13/1 Abdus Sattar Master Road West Gazipura Tongi Gazipur 1712,Bangladesh,1662,665.0,997.0,(40.0)%,(60.0)%,1662.0
95,SB Style Composite Ltd,Delpara Dhaka Narayangonj Link Road Narayangonj Narayangonj 1400,Bangladesh,3027,1944.0,1083.0,(64.2)%,(35.8)%,3027.0
96,Selina Apparels,Selina Tower Holan Road Dakhinkhan Uttara Dhaka Dhaka 1230,Bangladesh,5298,2396.0,2902.0,(45.2)%,(54.8)%,5298.0
97,Sepal Garments Ltd,181 Deger Chala Road Choy Dana National University Gazipur Gazipur 1704,Bangladesh,1879,915.0,964.0,(48.7)%,(51.3)%,1879.0
